iter	Passed	Remaining
0	3	1014
1	6	943
2	9	903
3	12	910
4	16	981
5	19	974
6	23	975
7	25	942
8	30	992
9	33	982
10	36	966
11	39	949
12	59	1305
13	64	1310
14	67	1282
15	71	1265
16	78	1303
17	82	1286
18	85	1263
19	88	1239
20	93	1240
21	97	1226
22	100	1214
23	104	1196
24	109	1202
25	112	1186
26	115	1172
27	119	1157
28	121	1135
29	126	1134
30	130	1133
31	134	1122
32	137	1112
33	141	1105
34	144	1093
35	147	1081
36	150	1068
37	154	1065
38	157	1056
39	161	1047
40	164	1038
41	168	1034
42	172	1031
43	176	1024
44	178	1011
45	181	1003
46	185	1000
47	189	993
48	192	984
49	194	974
50	198	967
51	201	962
52	205	955
53	207	947
54	210	939
55	214	933
56	218	930
57	221	923
58	224	918
59	227	911
60	232	911
61	235	905
62	238	897
63	241	890
64	245	887
65	248	880
66	251	873
67	253	866
68	256	860
69	260	856
70	264	851
71	267	846
72	270	840
73	273	835
74	278	834
75	281	829
76	284	823
77	287	817
78	293	822
79	299	822
80	302	818
81	306	815
82	310	812
83	314	807
84	317	802
85	320	797
86	324	794
87	327	789
88	330	783
89	333	778
90	337	774
91	340	770
92	343	764
93	346	759
94	350	755
95	354	753
96	357	748
97	360	743
98	363	738
99	367	734
100	371	730
101	373	725
102	377	721
103	380	717
104	386	717
105	389	713
106	394	710
107	397	706
108	401	703
109	405	700
110	409	696
111	410	689
112	416	688
113	419	683
114	422	679
115	425	674
116	430	672
117	433	668
118	436	664
119	439	659
120	444	657
121	447	653
122	451	649
123	454	644
124	457	640
125	467	645
126	470	640
127	473	636
128	477	633
129	481	629
130	484	624
131	486	619
132	491	617
133	495	613
134	498	609
135	502	605
136	505	601
137	509	598
138	513	594
139	517	590
140	520	586
141	524	583
142	527	579
143	530	574
144	533	570
145	537	566
146	540	562
147	543	558
148	546	553
149	549	549
150	554	546
151	557	542
152	560	538
153	563	534
154	566	529
155	570	526
156	574	522
157	577	518
158	579	514
159	585	512
160	589	508
161	591	504
162	594	499
163	601	498
164	604	494
165	608	491
166	612	487
167	616	484
168	619	480
169	622	476
170	625	471
171	629	468
172	632	464
173	635	460
174	638	455
175	641	452
176	646	449
177	649	445
178	652	441
179	655	437
180	661	434
181	664	431
182	668	427
183	671	423
184	677	421
185	681	417
186	685	413
187	688	409
188	692	406
189	695	402
190	700	399
191	703	395
192	708	392
193	711	388
194	714	384
195	717	380
196	720	376
197	730	376
198	734	372
199	738	369
200	741	365
201	745	361
202	747	357
203	750	353
204	754	349
205	758	345
206	761	342
207	765	338
208	769	335
209	773	331
210	778	328
211	781	324
212	785	320
213	789	317
214	792	313
215	795	309
216	800	306
217	803	302
218	806	298
219	809	294
220	812	290
221	816	286
222	819	283
223	822	279
224	825	275
225	833	272
226	836	268
227	839	265
228	842	261
229	847	257
230	850	254
231	854	250
232	857	246
233	862	243
234	865	239
235	869	235
236	873	232
237	877	228
238	880	224
239	883	220
240	886	217
241	892	213
242	896	210
243	900	206
244	903	202
245	907	199
246	911	195
247	913	191
248	916	187
249	921	184
250	924	180
251	927	176
252	930	172
253	933	169
254	937	165
255	940	161
256	943	157
257	946	154
258	949	150
259	953	146
260	956	142
261	959	139
262	962	135
263	966	131
264	970	128
265	973	124
266	975	120
267	979	116
268	982	113
269	986	109
270	989	105
271	993	102
272	996	98
273	1000	94
274	1003	91
275	1006	87
276	1010	83
277	1015	80
278	1019	76
279	1023	73
280	1027	69
281	1031	65
282	1034	62
283	1038	58
284	1042	54
285	1046	51
286	1054	47
287	1057	44
288	1062	40
289	1066	36
290	1071	33
291	1076	29
292	1080	25
293	1084	22
294	1087	18
295	1092	14
296	1096	11
297	1099	7
298	1102	3
299	1106	0
